scenario,source_gate,rework_count,avg_flow_days,avg_wait_days,avg_work_days,avg_decision_days
01_Baseline_v2,DR1,158,68.59139986162147,57.576454270129624,11.014945591491843,0.0
01_Baseline_v2,DR2,28,35.51426913905372,27.817352656714707,7.696916482339013,0.0
01_Baseline_v2,DR3,1,4.847627741761357,0.0,4.847627741761334,0.0
02_High_Resource_Extreme,DR1,84,45.15079524205879,18.98233096928654,26.16846427277225,0.0
02_High_Resource_Extreme,DR2,20,11.212204701215995,0.0,11.212204701215999,0.0
02_High_Resource_Extreme,DR3,1,10.808957126789096,0.0,10.808957126789137,0.0
04_Efficient_DR_Extreme,DR1,108,12.781913741670687,3.6470535814757024,9.134860160194982,0.0
04_Efficient_DR_Extreme,DR2,42,7.381415766676592,0.013352741762633156,7.368063024913957,0.0
04_Efficient_DR_Extreme,DR3,6,11.838303609228793,0.0,11.83830360922879,0.0
06_Throughput_Max_Attempt,DR1,233,12.479066611546106,5.796492723746332,6.682573887799771,0.0
06_Throughput_Max_Attempt,DR2,155,7.6233218704324255,0.2727659838117208,7.350555886620702,0.0
06_Throughput_Max_Attempt,DR3,42,7.373923436087206,0.0,7.373923436087203,0.0
