scenario_name,n_trials,days,arrival_rate,small_exp_duration,bundle_size_small,mid_exp_duration,fin_exp_duration,bundle_size_mid,bundle_size_fin,dr1_period,dr2_period,dr3_period,dr1_capacity,dr2_capacity,dr3_capacity,dr1_cost_per_review,dr2_cost_per_review,dr3_cost_per_review,dr2_rework_multiplier,dr_capacity,dr_quality,rework_load_factor,max_rework_cycles,decay,n_senior,n_coordinator,n_new,n_servers_mid,n_servers_fin,rework_beta_a,rework_beta_b,rework_task_type_mix,conditional_prob_ratio,decision_latency_days,friction_model,friction_alpha
DOE_BLOWUP_01,200,1095,0.17370458603802674,7,6,21,21,2,2,90,160,90,10,21,18,1.0,2.0,3.0,1.6419478258991258,10,0.8,1.586435000093434,3,0.7,2,2,2,4,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_02,200,1095,0.2272874113368291,7,6,21,21,2,2,90,157,90,10,14,18,1.0,2.0,3.0,3.9551246919730643,10,0.8,1.257487835413266,3,0.7,2,2,2,1,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_03,200,1095,0.2579780681085162,7,6,21,21,3,2,90,109,90,10,19,18,1.0,2.0,3.0,3.578067001523734,10,0.8,1.3717827362816761,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_04,200,1095,0.15338163671108912,7,6,21,21,3,2,90,120,90,10,20,18,1.0,2.0,3.0,3.842007491445625,10,0.8,2.0189496541573475,3,0.7,2,2,2,3,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_05,200,1095,0.2154605611051178,7,6,21,21,2,2,90,67,90,10,24,18,1.0,2.0,3.0,3.934928307985027,10,0.8,1.7757122395343865,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_06,200,1095,0.18770281419600426,7,6,21,21,2,2,90,71,90,10,22,18,1.0,2.0,3.0,2.90372730358765,10,0.8,0.9199777380880854,3,0.7,2,2,2,3,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_07,200,1095,0.24942249016471524,7,6,21,21,2,2,90,104,90,10,7,18,1.0,2.0,3.0,1.856555916299027,10,0.8,0.8807476596417365,3,0.7,2,2,2,4,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_08,200,1095,0.201972241934756,7,6,21,21,3,2,90,118,90,10,12,18,1.0,2.0,3.0,2.1986089014637527,10,0.8,2.5575259980284892,3,0.7,2,2,2,3,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_09,200,1095,0.17731821508851836,7,6,21,21,1,2,90,96,90,10,11,18,1.0,2.0,3.0,1.1286993932098621,10,0.8,1.8020520466388867,3,0.7,2,2,2,1,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_10,200,1095,0.1477214487775941,7,6,21,21,3,2,90,91,90,10,16,18,1.0,2.0,3.0,3.7973142467093903,10,0.8,1.005831291616737,3,0.7,2,2,2,3,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_11,200,1095,0.12741213299526516,7,6,21,21,2,2,90,145,90,10,12,18,1.0,2.0,3.0,3.529503346536326,10,0.8,1.6693266737534636,3,0.7,2,2,2,2,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_12,200,1095,0.3068208312751096,7,6,21,21,3,2,90,162,90,10,20,18,1.0,2.0,3.0,1.161496771577716,10,0.8,2.408751026038237,3,0.7,2,2,2,1,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_13,200,1095,0.11989926261166643,7,6,21,21,4,2,90,140,90,10,24,18,1.0,2.0,3.0,3.410773361687724,10,0.8,1.5368309563273788,3,0.7,2,2,2,1,2,2,5,1,0.5,3,linear,0.05
DOE_BLOWUP_14,200,1095,0.10309219982419171,7,6,21,21,3,2,90,101,90,10,25,18,1.0,2.0,3.0,3.309336577357219,10,0.8,1.101938575285498,3,0.7,2,2,2,4,2,2,5,1,0.5,3,linear,0.05
