scenario,dr1_cost_avg,dr2_cost_avg,dr3_cost_avg,total_review_cost_avg,cost_per_completed_job_avg
01_Baseline,23.4,16.18,7.35,46.93,30.43010752688172
02_High_Load,23.63,16.34,7.47,47.44,30.648936170212767
03_High_Rework,24.99,17.48,7.83,50.3,29.67833333333333
04_Large_Bundle,0.0,0.0,0.0,0.0,0.0
05_Fast_DR,24.65,17.84,8.73,51.22,27.544217687074827
06_Senior_Only,24.71,17.96,8.88,51.55,25.831649831649827
07_Coordinator_Only,23.72,16.02,7.17,46.91,31.101063829787233
08_New_Only,9.83,4.52,1.56,15.91,40.0
09_reworkABup,23.4,16.18,7.35,46.93,30.43010752688172
10_High_Arrival,101.56,67.38,34.59,203.53,25.455862193362194
11_conditional_prob_ratioLOW,24.87,16.56,7.71,49.14,29.01178451178451
12_DR_30_65,25.03,18.82,10.32,54.17,24.66083333333333
