scenario,overall_status,gate1_name,gate1_status,gate1_value,gate1_threshold,gate2_name,gate2_status,gate2_value,gate2_threshold,gate3_name,gate3_status,gate3_value,gate3_threshold,gate4_name,gate4_status,gate4_value,gate4_threshold,avg_completed,avg_tp,avg_p90_lt,avg_reworks,ci_width_tp
01_Baseline,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1794,0.4,Gate3: P90待ち時間基準,PASS,66.5003,250.0,Gate4: 平均差し戻し回数,PASS,0.7017,5.0,0.0,0.0016073059360730596,66.50026695622999,0.7016666666666667,0.17941481343790758
02_High_Load,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1749,0.4,Gate3: P90待ち時間基準,PASS,67.2585,250.0,Gate4: 平均差し戻し回数,PASS,0.7417,5.0,0.0,0.0016164383561643838,67.25850158185804,0.7416666666666667,0.17485284695721942
03_High_Rework,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1422,0.4,Gate3: P90待ち時間基準,PASS,72.5653,250.0,Gate4: 平均差し戻し回数,PASS,0.1683,5.0,0.0,0.0017625570776255712,72.56526575414797,0.16833333333333333,0.14217608513843863
04_Large_Bundle,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.0,0.4,Gate3: P90待ち時間基準,PASS,0.0,250.0,Gate4: 平均差し戻し回数,PASS,0.0,5.0,0.0,0.0,0.0,0.0,0.0
05_Fast_DR,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1444,0.4,Gate3: P90待ち時間基準,PASS,44.5531,250.0,Gate4: 平均差し戻し回数,PASS,0.8417,5.0,0.0,0.0019269406392694065,44.553109727082926,0.8416666666666666,0.14437768228839387
06_Senior_Only,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.127,0.4,Gate3: P90待ち時間基準,PASS,72.2036,250.0,Gate4: 平均差し戻し回数,PASS,0.6208,5.0,0.0,0.002036529680365297,72.2036065522049,0.6208333333333332,0.12704297708072812
07_Coordinator_Only,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1764,0.4,Gate3: P90待ち時間基準,PASS,68.3027,250.0,Gate4: 平均差し戻し回数,PASS,0.715,5.0,0.0,0.0015616438356164386,68.30265473226078,0.715,0.1763533972310477
08_New_Only,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),FAIL,0.528,0.4,Gate3: P90待ち時間基準,PASS,25.8891,250.0,Gate4: 平均差し戻し回数,PASS,0.33,5.0,0.0,0.0003744292237442922,25.889074094622156,0.33,0.5279770068567181
09_reworkABup,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1794,0.4,Gate3: P90待ち時間基準,PASS,66.5003,250.0,Gate4: 平均差し戻し回数,PASS,0.7017,5.0,0.0,0.0016073059360730596,66.50026695622999,0.7016666666666667,0.17941481343790758
10_High_Arrival,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.0676,0.4,Gate3: P90待ち時間基準,PASS,80.0008,250.0,Gate4: 平均差し戻し回数,PASS,0.613,5.0,0.0,0.0074977168949771685,80.00083780254322,0.6129852092352093,0.06762448061875154
11_conditional_prob_ratioLOW,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.1451,0.4,Gate3: P90待ち時間基準,PASS,74.1942,250.0,Gate4: 平均差し戻し回数,PASS,1.0725,5.0,0.0,0.0017625570776255712,74.19417442387861,1.0725,0.14507734480993273
12_DR_30_65,FAIL,Gate1: 完了ジョブ数下限,FAIL,0.0,5,Gate2: 統計品質(CI幅),PASS,0.127,0.4,Gate3: P90待ち時間基準,PASS,20.1579,250.0,Gate4: 平均差し戻し回数,PASS,0.8083,5.0,0.0,0.0022465753424657535,20.15789698005213,0.8083333333333332,0.1269554231913323
